sample_id,keyword,archived_parent_score,codex_independent_score,human_score,human_confidence,needs_adjudication,score_gap_vs_parent_calc,score_gap_vs_codex_calc,human_notes,codex_notes,context
S001,智能制造,1,0,0,high,,-1,0,子公司名称+募投项目实施地点变更，仅主体命名，无数据应用,,产业的长远发展。2015 年 11 月 16 日，公司召开第五届董事会第二十二次会议表决通过了《关于变更部份募投资项目实施 主体及实施地点的议案》。实施主体变更为公司全资子公司巨轮（广州）机器人与智能制造有限公司， 实施地点变更为位于广州科学城开泰大道以南、发源路以北。 ②为配合广州开发区整体规划和土地储备的需要，经友好协商，子公司巨轮（广州）机器人与智能 制造有限公司同意将位于广州科学城开泰
S004,信息化,1,2,2,medium,,1,0,对车间设备做自动化、信息化改造，指向散剂生产线管理效率与信息准确性，有明确业务对象,,24 降低了劳动成本和生产成本，经济效益将十分显著。 公司还将启动对湖南金沙药业有限公司（下简称“金沙药业”）药品研发硬件改造，改善 研发工作环境；同时对两公司车间现有设备进行自动化、信息化改造，提高整个散剂生产线 的管理效率和制剂车间的管理水平，提升信息的准确性、快速性，同时运用计算机进行管理 体现了车间管理的现代化，使车间生产能够适应信息社会的发展。 2、从2019年上半年开
S005,智能化,0,2,1,high,,1,-1,推进设备自动化、智能化改造提升效率，方向性而非落地场景,,经营成本。 为此，公司将通过内部培训与招聘的方式来组建一支国际化管理、研发队伍，不断完善人才激励 和考核机制，激发员工积极性，制定科学合理的薪酬体系，提升人力资源管理水平，积极推进设 备自动化、智能化改造，提高生产效率，降低因人工成本上升带来的影响。 （7）技术风险 2020 年年度报告 29 / 185 由于国内外电气机械及器材制造业市场竞争的日趋激烈以及技术的不断发展，
S007,信息化,1,0,0,high,,-1,0,"补助项目名""工业和信息化部电子发展基金""，纯机构/资金命名",,"关 2012 年北京市科委基于物联 网“数字粮库”关键技术研究 与示范项目 600,000.00 600,000.00 与收益相关 电子信息产业发展基金工业 和信息化部电子发展基金项 目 1,000,000.00 1,000,000.00 与收益相关 重大产业专项资金项目 800,000.00 800,000.00"
S010,信息化,1,0,0,high,,-1,0,李克强讲话与新四化政策背景复述,,"商业银行申请中长期借款来解决公司北京科研中心基础建设所需 资金。 (五) 可能面对的风险 1、行业及政策风险 十八大会议中，李克强总理明确提出：""坚持走中国特色新型工业化、信息化、城镇化、农 业现代化道路""的新四化发展道路。当前我国正处于新四化水平不断提高的阶段，国家在新兴产 业及重点行业领域的政策引导及规划布局带动了整体信息产业经济的发展。从信息技术的长期 演进趋势来"
S011,信息化,1,3,2,medium,,1,-1,以内部信息化为基础形成市场快速反应机制、缩短制造周期，有管理用途,,012 年度报告全文 16 入手，帮助客户进行设备选型，推荐先进工艺与辅具，配备专业的培训人员和良好的培训环境对用户进行 培训，帮助用户发挥机床的最大效益、加工出高质量的产品；以公司内部信息化为基础，形成了对市场的 快速反应机制，缩短了制造周期，满足了客户提出的交货期要求，赢得了客户的赞誉和口碑。 2、较强的技术实力和稳定的产品质量 公司在数控机床模块化设计和研发、可重组轴承自动
S013,信息化,1,0,0,high,,-1,0,"高企认定机构""科技工贸和信息化委员会""，仅机构名",,分厂执行的所得税税率 无。 深圳市奥拓电子股份有限公司 2013 年年度报告 111 2、税收优惠及批文 （1）企业所得税 2011年10月31日本公司经深圳市科技工贸和信息化委员会、深圳市财政委员会、深圳市国家税务 局和深圳市地方税务局重新认定为高新技术企业，有效期三年。企业所得税率为15%，取得深圳市南山区 地方税务局深地税南备[2012]245号《深圳市南山区地方
S016,数字化转型,1,3,2,medium,,1,-1,集团统一架构下推数字化转型、AI在业务场景运用、数据驱动决策，含决策用途,,活力。人才是公司未来发展的基础，通过岗位胜任力模型 搭建、职业发展通道打通、四维薪酬体系建设，提升公司引入人才、培养人才、留住人才的能力，增强 员工对企业文化的价值认同。进一步实现集团统一架构下的数字化转型，探索AI 在公司业务场景的运 用，通过数字驱动为业务运营发展和决策提供科学依据，使数据全方位渗透到公司运营的各个环节，提 升企业的现代化管理水平。 十二、报告期内接待调研、沟通、采访等活动登记
S018,人工智能,1,0,0,high,,-1,0,消费电子行业智能化集成化趋势描述,,（三）行业发展趋势 公司所处的消费电子行业是典型的科技驱动行业，技术的进步推动消费电子持续向智能化和集成化发展，其中，集成 化是指产品体积持续变小的同时集成更多的功能，智能化是指将硬件设备与人工智能相结合，使得智能终端具备信息处理 深圳奥尼电子股份有限公司 2022 年年度报告全文 10 和数据联接能力，可实现感知、交互服务等功能，消费电子产品与物联网深度结合将成为行业发展的重要方向，
S019,智能化,1,1,2,medium,,1,1,产品柔性化/智能化/数字化配套数据采集层、网络化总线控制，有具体对象,,特点。产品由多个单元设备构成，每个单元设备由经过长期验证的标准化模块搭建构成，高稳定性、高可 靠性优势凸显。产品的机器视觉对位及机器视觉在识别、测量、机器人测控等方面精准度较高。 产品的柔性化、智能化和数字化，可满足下游客户柔性化的生产趋势，单机之间任意插入或删减单机， 随意重组，互换性高，各单元采取网络化，总线控制。下游客户产品换型时只需更换互换性模块，产品换 型成本低。产品设置数据采集层、
S020,数字化,1,0,0,high,,-1,0,"引用政策文件""推动制造业实现数字化转型""宏观口号",,造，要立足制造本质，紧扣智能特征，以工艺、装备为核心，以数据为基础，依托 制造单元、车间、工厂、供应链等载体，构建虚实融合、知识驱动、动态优化、安 全高效、绿色低碳的智能制造系统，推动制造业实现数字化转型、网络化协同、智 能化变革。到 2025 年，规模以上制造业企业大部分实现数字化网络化，重点行业骨 干企业初步应用智能化；到 2035 年，规模以上制造业企业全面普及数字化网络化， 重点行业
S021,信息化,1,0,0,high,,-1,0,教育信息化市场规模统计，宏观背景,,的投入都达到了 GDP 的 4%以上， 因此教育信息化财政性经费占整体我国 GDP 的 0.32%以上，2018 年有 3000 亿左右的规模，再加上 一些专项经费以及 2C 端的信息化费用，教育信息化的整体市场规模达到了 4000 多亿。未来教育 信息化市场空间仍然巨大。 （二） 化工业务 1.经营模式 公司主要从事含氟聚合物、氟精细化学品、含氟单体等含氟化学品的研究、开发、生产和经
S022,智能化,1,2,1,medium,,0,-1,"研发项目""生产过程智能化研究""仍处推进中，结果未显",是研发项目，但仍处推进中，结果未显。,明专利，推广花生专用复合肥， 提高作物产量和品质，同时提高公司的 销售业绩和市场份额。 提升公司技术 研发能力，对 公司未来发展 产生积极影 响。 绿色新型复合肥研制与 生产过程智能化研究 研制一种绿色、环保的新 型复合肥，并将生产过程 智能化。 稳步推进中 推广绿色新型复合肥，提高作物产量和 品质，同时提高公司的销售业绩和市场 份额。 提升公司技术 研发
S023,智能化,1,0,0,high,,-1,0,光学光电子行业背景中信息化、智能化技术演进描述,,门槛 公司专业从事光学元器件的研发、生产和销售，所处细分行业为光学光电子行业。光学光电 子是综合光学、机械、材料、电子、计算机、半导体等于一体的科学技术。随着第三次工业革命 时代的到来，信息化、智能化技术的快速进步，光学光电子产业与显示、成像、传感、通信、人 工智能等技术发展紧密相联，逐步实现与电子、信息、半导体等技术的跨界融合。 近年来，国际光学光电子产业处于高速发展阶段，各国在光学成像、光
S027,信息化,1,3,2,medium,,1,-1,深耕智能化、信息化及智慧城市领域并应用于民生/公共安全/智慧城市，有业务场景但偏资质介绍,,数据、人工智能等技术给智慧城市行业精心打造出可运营、可迭代、可持续、可 盈利的智慧平台。 报告期内公司注册外观设计专利3项，申报发明专利13项，获批软件著作权52项。报告期内，公司“荣获执法行业信息化 （智慧应急）最佳创新驱动解决方案奖” 3、较强的行业技术实力和资质 公司深耕智能化、信息化及智慧城市信息技术行业多年，在民生、公共安全、智慧城市三大细分应用领域，拥有较强的 技术实力和丰
