分组,Y,类别,口径/含义,DU_kw,DU_llm,结论,建议,样本N,来源
A. 基准对照,PriceDelay,基准主Y,价格吸收速度 / 定价效率,"-0.0039 (t=-3.87, p=1.16e-04; 显著且方向对)","-0.0045 (t=-5.31, p=1.35e-07; 显著且方向对)",基准双测度显著,保留主Y,37294,新数据/事件型Y
A. 基准对照,SYNCH,基准/讨论,股价同步性,"0.0159 (t=2.94, p=0.003; 显著且方向对)","0.0264 (t=5.54, p=3.93e-08; 显著且方向对)",基准双测度显著,只作讨论或稳健性，不宜替代主Y,37245,新数据/事件型Y
B. 值得给老师确认,PEAD60_abs,公告后残余调整,60日公告后绝对CAR,"-0.0037 (t=-2.55, p=0.011; 显著且方向对)","-0.0037 (t=-2.89, p=0.004; 显著且方向对)",双测度显著：最值得和老师确认,最值得确认的新Y,37269,新数据/事件型Y
B. 值得给老师确认,PEAD20_abs,公告后残余调整,20日公告后绝对CAR,"-0.0017 (t=-2.83, p=0.005; 显著且方向对)","-0.0015 (t=-1.95, p=0.052; 边际且方向对)",一显著一边际,可作为短窗补充,37288,新数据/事件型Y
B. 值得给老师确认,EA_absCAR02,公告即时反应,"[0,+2] 绝对CAR","-9.68e-04 (t=-2.28, p=0.023; 显著且方向对)","-8.07e-04 (t=-1.86, p=0.064; 边际且方向对)",一显著一边际,可作辅助,37293,新数据/事件型Y
B. 值得给老师确认,CS_Spread,微观结构,Corwin-Schultz 隐含价差,"-3.74e-05 (t=-1.94, p=0.052; 边际且方向对)","-9.33e-05 (t=-6.12, p=1.35e-09; 显著且方向对)",一显著一边际,可作为补充Y,37294,新数据/事件型Y
C. 单测度显著/稳健性不足,HL_Range_year,微观结构,年均高低价波动范围,"-7.98e-05 (t=-0.90, p=0.367; 不支持)","-3.92e-04 (t=-5.89, p=5.44e-09; 显著且方向对)",仅DU_llm显著,单测度有效，谨慎,37294,新数据/事件型Y
B. 值得给老师确认,SUE_abs_price,盈余意外,绝对盈余意外,"-9.40e-04 (t=-4.34, p=1.59e-05; 显著且方向对)","-5.10e-04 (t=-1.79, p=0.073; 边际且方向对)",一显著一边际,机制/解释性补充,23747,新数据/事件型Y
B. 值得给老师确认,AF_Error_abs,分析师信息环境,绝对预测误差,"-9.40e-04 (t=-4.34, p=1.59e-05; 显著且方向对)","-5.10e-04 (t=-1.79, p=0.073; 边际且方向对)",一显著一边际,机制/解释性补充,23747,新数据/事件型Y
B. 值得给老师确认,AF_Coverage,分析师信息环境,分析师覆盖度,"0.0131 (t=1.78, p=0.076; 边际且方向对)","0.0125 (t=1.67, p=0.095; 边际且方向对)",双边际,弱边际,23747,新数据/事件型Y
C. 单测度显著/稳健性不足,Amihud_year,流动性,年化Amihud非流动性,"-0.0015 (t=-4.62, p=4.41e-06; 显著且方向对)","-2.67e-04 (t=-1.17, p=0.242; 不支持)",仅DU_kw显著,单边显著，可作附录,37294,旧候选Y
C. 单测度显著/稳健性不足,ZeroRet_ratio,流动性,零收益天数占比,"-4.60e-04 (t=-3.36, p=7.96e-04; 显著且方向对)","9.54e-05 (t=0.70, p=0.484; 不支持)",仅DU_kw显著,单边显著，可作附录,37294,旧候选Y
C. 单测度显著/稳健性不足,NCSKEW,崩盘风险,自构NCSKEW,"-0.0144 (t=-3.22, p=0.001; 显著且方向对)","0.0065 (t=1.29, p=0.196; 不支持)",仅DU_kw显著,单边显著，不建议主推,37294,旧候选Y
