sample_id,keyword,codex_independent_score,codex_confidence,codex_notes
S001,智能制造,0,high,
S002,智能制造,0,high,
S003,信息化,1,high,
S004,信息化,2,high,
S005,智能化,2,high,
S006,智能制造,1,medium,偏产品/能力介绍，缺少实际应用场景。
S007,信息化,0,high,
S008,智能化,1,medium,工艺/方案表述为主，落地动作不够清楚。
S009,智慧城市,0,high,
S010,信息化,0,high,
S011,信息化,3,high,
S012,智能制造,1,medium,偏测试设备规格说明，未见真实应用闭环。
S013,信息化,0,high,
S014,信息化,0,high,
S015,信息化,0,high,
S016,数字化转型,3,high,
S017,智能制造,1,high,
S018,人工智能,0,high,
S019,智能化,1,high,
S020,数字化,0,high,
S021,信息化,0,high,
S022,智能化,2,medium,是研发项目，但仍处推进中，结果未显。
S023,智能化,0,high,
S024,数字化转型,1,medium,行业展望语境，AI/大数据仍偏趋势表述。
S025,智能化,1,high,
S026,数字化,1,high,
S027,信息化,3,high,
S028,信息化,0,high,
S029,信息化,0,high,
S030,大数据,0,high,
S031,信息化,0,high,
S032,智能化,0,high,
S033,大数据,0,high,
S034,智能化,1,high,
S035,数字化,1,high,
S036,信息化,1,high,
S037,信息化,1,high,
S038,智能化,2,medium,项目进展/合同信息较多，应用场景有限。
S039,数字化,3,high,
S040,大数据,0,high,
S041,智能制造,0,high,
S042,智能制造,3,high,
S043,智能化,0,high,
S044,信息化,2,medium,有信息系统，但更像服务线升级，闭环不足。
S045,数字化,1,high,
S046,数字化,0,high,
S047,智能化,3,high,
S048,人工智能,0,high,
S049,智能化,1,high,
S050,数字化,3,high,
S051,人工智能,3,high,
S052,人工智能,2,medium,有明确场景，但主要是能力与经验介绍。
S053,人工智能,1,medium,战略表述较多，落地动作不够具体。
S054,智能化,2,medium,场景具体，但未见系统闭环或量化结果。
S055,数字化,2,medium,有系统建设，偏治理动作，闭环性不足。
S056,智慧城市,3,high,
S057,数字化转型,2,medium,上下文偏规划/政策，按电网改造场景处理。
S058,信息化,0,high,
S059,数字化,3,high,
S060,大数据,3,high,
S061,风险控制,0,high,
S062,算法,1,high,
S063,算法,2,medium,具体技术方案清楚，属于应用场景而非闭环。
S064,风险控制,0,high,
S065,风险控制,0,high,
S066,风险控制,2,medium,内部控制动作明确，但未见数据流程闭环。
S067,程序化,2,high,
S068,算法,0,high,
S069,数据资源,2,medium,数据资源为财务列示，偏资产认定口径。
S070,精准营销,2,medium,有明确营销用途，但结果和系统嵌入不足。
S071,风险控制,1,high,
S072,数据资源,2,medium,数据资源为财务列示，非运营使用场景。
S073,风险控制,0,high,
S074,风险控制,0,high,
S075,风险控制,2,medium,治理与降本结果明确，但数据场景不够直接。
S076,数据资源,2,medium,数据资源会计列示，偏资产化披露。
S077,数据集,0,high,
S078,数据分析,3,high,
S079,数据库,2,medium,客户数据库支撑管理决策，闭环证据不足。
S080,数据中心,2,medium,运维服务场景清楚，但更偏服务流程。
S081,风险控制,3,high,
S082,数据交易,3,high,
S083,数据中心,0,high,
S084,数据库,0,high,
S085,数据资源,2,medium,执行数据资源会计规定，属资产认定口径。
S086,运营数据,2,medium,运营数据用于绩效统计，应用场景较明确。
S087,数据安全,2,medium,数据安全与服务场景明确，但缺少闭环结果。
S088,数据中心,0,high,
S089,算法,2,medium,为AI训练提供授权数据，偏资源供给口径。
S090,数据中心,2,medium,多项目建设清楚，但更像项目清单。
S091,风险控制,0,high,
S092,算法,2,medium,具体算法定位应用明确，但结果未展开。
S093,数据资源,2,medium,数据资源列示在报表，偏披露而非使用。
S094,数据采集,2,medium,上下文是释义，系统功能虽明但偏定义口径。
S095,数据资源,2,medium,数据资源是报表项目，未见运营应用。
S096,算法,2,high,
S097,数据中心,0,high,
S098,数据采集,2,medium,有数据采集与分析，但仍偏辅助使用。
S099,风险控制,0,high,
S100,风险控制,2,medium,敏感性分析属于风险管理应用，非业务闭环。
S101,数据中心,2,medium,偏数据中心业务绩效披露，不是使用动作。
S102,数据分析,2,medium,应用场景开发与数据分析服务较明确。
S103,算法,1,high,
S104,数据产品,3,high,
S105,数据资源,2,medium,数据资源系财务列示，偏资产披露。
S106,数据服务,1,high,
S107,数据中心,2,medium,产品线含数据中心和大数据，偏业务介绍。
S108,数据集,2,medium,有数据建模/集成/边缘处理，但仍偏趋势描述。
S109,数据中心,3,high,
S110,机器学习,0,high,
S111,数据安全,3,high,
S112,算法,3,high,
S113,数据中心,3,high,
S114,数字营销,3,high,
S115,数据中台,3,high,
S116,数据中心,3,high,
S117,运营数据,0,high,
S118,数据库,2,medium,概念性描述图数据库应用场景，落地细节少。
S119,数据安全,0,high,
S120,数据资源,2,medium,数据资源列示在报表，偏资产披露。
