候选组合,Exposure概念,Y/机制概念,严格PB池共现数,全相关池共现数,PB+Y共现数,Exposure+Y共现数,空白判断,备注
自然人担保暴露下，PB 是否提高风险披露具体性,自然人保证/连带责任,风险披露/文本具体性,0,0,2,0,本批严格PB池未见共现,主线候选：最贴近坏消息隐藏过程，若 count 很低就是优先空白。
自然人担保暴露下，PB 是否提高坏消息确认及时性/会计稳健性,自然人保证/连带责任,会计稳健/损失确认,0,0,0,0,本批严格PB池未见共现,会计味强，适合替代 crash risk 做主 Y。
自然人担保暴露下，PB 是否促进减值及时确认,自然人保证/连带责任,资产减值/信用减值,0,0,0,0,本批严格PB池未见共现,更具体，但受行业和疫情冲击影响大。
自然人追偿价值下降后，审计师是否增加债务/KAM 风险披露,自然人保证/连带责任,审计/KAM,0,0,0,0,本批严格PB池未见共现,可做机制或审计方向副主线。
控制人失败成本下降后，企业风险披露是否更具体,控制人失败成本,风险披露/文本具体性,0,0,2,0,本批严格PB池未见共现,坏消息隐藏上游 Y，适合会计/管理交叉。
控制人失败成本下降后，企业是否更及时确认坏消息,控制人失败成本,会计稳健/损失确认,0,0,0,0,本批严格PB池未见共现,会计主线候选。
PB 是否缓解质押控制人的坏消息隐藏和崩盘风险,股权质押/控制权风险,坏消息隐藏/崩盘风险,0,0,1,0,本批严格PB池未见共现,相邻 crash/pledge 文献较多，需谨慎。
债务短期化压力是否诱发现实经营或盈余管理,债务期限/融资结构,盈余管理/盈余平滑,0,0,1,0,本批严格PB池未见共现,可能被信贷和盈余管理文献挤压，作为机制更好。
PB 后银行收缩是否引发商业信用替代,银行信贷供给,商业信用/供应链,0,2,4,2,本批严格PB池未见共现,金融机制候选，离会计主线较远。
失败成本下降是否提高存量企业创新/研发,控制人失败成本,创新/研发,5,36,20,36,少量共现，需精查,已接近创业创新文献，要做必须写双机制。
