sample_id,keyword,archived_parent_score,codex_independent_score,human_score,human_confidence,human_notes,codex_notes,context
S031,信息化,2,0,0,high,北京市经济和信息化委员会拨款合同,,"4 年度收到技术中心创新能力建设项目专项资金 5,000,000.00 元，截止 2016 年 12 月 31 日累计 结转收入 1,125,000.00 元。 (12)根据本公司与北京市经济和信息化委员会签订的《北京市工业发展资金拨款项目合同书》， 2014 年度收到固定资产投资项目拨款 2,470,000.00 元，截止 2016 年 12 月 31 日累计结转收入 1,029,166.6"
S032,智能化,2,0,0,high,新能源汽车行业电动化、智能化方向宏观趋势,,1 年销量可达 180 万辆；同时，从国际市场来看，随着欧洲排放政策的 实施和补贴政策的推动，欧洲在 2020 年的新能源汽车销量首次超过中国达到 136.7 万辆，因此， 全球新能源汽车电动化、智能化方向已经明确。在零部件配套方面，随着新能源汽车量的快速增 长，汽车零部件的需求日益增加，但市场竞争也越来越激烈，越来越充分。 (五) 投资状况分析 1、 对外股权投资总体分析 √适用 □
S033,大数据,2,0,0,high,"研究项目名单中含""基于大数据...智能型数字城市管理平台""",,、非接触式人体安检探测技 术与样机研制、基于物联网技术的污染源实时监控与减排控制系统、同方大型公共建筑 节能监测诊断平台建设及大型公共建筑低成本节能诊断改造项目；(6)其他项目 16 项： 基于大数据与新一代移动通信技术的智能型数字城市管理平台、安全快速大容量互联网 云存储服务系统建设与产业化、基于物联网的安全经济的配用电一体化系统研制、基于 E 人 E 本高安全型移动综合服务平台、应用在平板
S038,智能化,2,2,0,high,"""嘉会城智能化工程建设项目""合同工程名",项目进展/合同信息较多，应用场景有限。,报警系统、气体灭火系统项目合同》。详 见公司于2019年10月21日在巨潮资讯网披露的《关于全资子公司上海杰东系统工程控制有限 公司签署合同的公告》（公告编号：2019-078）。 2、嘉会城智能化工程建设项目 （1）项目进展情况 2016年12月27日，公司下属全资子公司北京飞利信电子技术有限公司（以下简称“飞利 信电子”）与发包人迪维（连云港）置业有限公司签订了《建设工程施工合同》
S040,大数据,2,0,0,high,"董事简历中""中云文化大数据董事""任职",,先生于 2009 年至今任光一投资执行董事；公司董事长；全资子公 司苏源光一董事长；全资子公司智友尚云、光一贵仁执行董事；控股子公司云 商天下董事长、索瑞电气董事；参股子公司贵银投资董事、中云文化大数据董 事；天擎华媒（北京）科技有限公司董事长；南京巿人大代表，江苏省贵州商 会会长，江苏省（贵州省）工商联执委，江苏省致公党省经济委员会副主任。 过去 10 年曾控股的境内外上市公司情况 无
S041,智能制造,2,0,0,high,"补助项目""芙蓉区国库智能制造试点企业项目""项目名",,"79,972 与资产相关 中药产业园建设项目 484,751 829,124 与资产相关 医药健康产业园建设 项目 84,508 84,507 与资产相关 芙蓉区国库智能制造 试点企业项目 44,754 37,295 与资产相关 其他 131,073 1,074,032 与资产相关 稳岗补贴 15,231,2"
S043,智能化,2,0,0,high,"""道口智能化系统""固定资产账面余额，资产列示",,"面余额 减值准备 账面价值 账面余额 减值准备 账面价值 物流天下电子商务 平台 5,773,058.38 5,773,058.38 道口智能化系统 219,971.72 219,971.72 道口钢结构土建及 80 吨电子磅工程 209,707.80 209,707.80"
S046,数字化,2,0,0,high,一号文件及数字乡村规划政策引用,,一号文件”，连续第二十二年聚焦“三农”议题，强调夯实“三农”工作基础，推 进乡村全面振兴；发展智慧农业，拓展人工智能、数据、低空等技术应用场景。在数字经济蓬勃发展和数字技术广泛应 用的背景下，农业数字化成为推动农业农村现代化的关键。《数字乡村发展战略纲要》《数字农业农村发展规划 （2019−2025 年）》相关文件提出要发挥数字化和信息化在乡村振兴中的作用，并明确提升农业生产、加工、销售、物 流
S048,人工智能,2,0,0,high,"释义条目""人工智能""学术定义",,024 年年度报告全文 5 释义 释义项 指 释义内容 人工智能 指 英文缩写为AI。它是研究、开发用于模拟、延伸和扩展人 的智能的理论、方法、技术及应用系统的一门新的技术科 学。人工智能是指能够像人一样进行感知、认知、决策和执 行的人工程序或系统。感知智能，即机器具有“能听会说、 能看会认”的能力，主要涉及语音合成、语音识别、图像识 别、多语种语音处理等技术；认知智能，即机器具
S058,信息化,2,0,0,high,区域信息化建设需求增长宏观背景,,群”等区域协同发展战略的实施，以及雄安新区的设立，国 家中心城市的进一步扩容，各地区的信息化建设需求正在进一步扩张中。部分经济欠发达地区制 定并实施了以新一代信息技术为依托的跨越式发展规划，带来了信息化需求的显著增长。例如以 贵州为代表的西部省区，大数据产业成为当地经济发展的新龙头，显著地拉动了对信息化产品和 技术的需求。 2、知识密集型特征 本公司所处行业具有知识密集型特征，具体为：
