batch_id,sample_id,parent_llm_score,codex_score,codex_reason,codex_confidence
batch_001,S001,1,0,"仅是募投项目实施主体和实施地点变更，""智能制造""出现在子公司名称中，没有任何数据使用或智能化应用动作。",0.98
batch_001,S002,0,0,"这是所得税税率和税收优惠披露，""智能制造""仅出现在纳税主体名称中，无数据对象或业务应用行为。",0.99
batch_001,S003,1,1,提到“推进信息化建设”，但仍是对经营改善和增长的泛化描述，没有具体数据对象、系统动作或明确业务场景。,0.93
batch_001,S004,1,3,明确对车间设备进行自动化、信息化改造，并运用计算机进行管理，目标是提升生产线和车间管理效率及信息准确性，属于具体运营场景中的实质应用。,0.87
batch_001,S005,0,1,提到推进设备自动化、智能化改造以提高生产效率、降低成本，但没有具体数据对象或信息系统使用细节，仍偏泛化。,0.91
batch_001,S006,1,1,主要是介绍智能制造设备、自动化产线和无人工厂解决方案等产品/技术布局，属于业务描述，未体现具体数据使用动作。,0.9
batch_001,S007,1,0,这是政府补助及项目名称披露，虽含“数字粮库”“信息化”等词，但没有企业自身的数据使用或治理行为。,0.98
batch_001,S008,1,1,表述为“工艺智能化”和对市场需求快速反应，偏能力宣传和概括性描述，缺少具体数据对象、动作和应用场景。,0.9
batch_002,S009,0,0,仅为软件著作权/平台名称罗列，虽含“智慧城市视频共享平台”字样，但没有展示任何数据对象、使用动作或业务场景。,0.98
batch_002,S010,1,0,内容是宏观政策与行业风险表述，属于“信息化”政策背景引用，不涉及公司层面的具体数据应用。,0.99
batch_002,S011,1,2,提到“以公司内部信息化为基础”形成快速反应机制、缩短制造周期并满足交期，已出现较具体的经营动作与场景，但未明确呈现具体数据对象或更完整的数据使用链条。,0.85
batch_002,S012,1,1,主要是在描述功率半导体测试机及器件特性研究，带有“智能制造”技术/产品表述，但未落到明确的数据使用行为或经营治理场景。,0.8
batch_002,S013,1,0,这是税收优惠与高新技术企业认定说明，“信息化”仅出现在政府部门名称中，不构成数据应用语义。,0.99
batch_002,S014,0,0,仅为名词释义/机构简称列表，“工业和信息化部”属于部门名称，完全没有数据使用内容。,0.99
batch_002,S015,0,1,“管理信息化”仅作为装配式建筑特征之一出现，整体仍是行业与政策式描述，没有具体的数据对象、动作或应用场景。,0.93
batch_002,S016,1,3,明确写到在业务场景中探索AI运用，以数字驱动为业务运营和决策提供依据，并使数据渗透到运营各环节，已同时具备数据对象、具体动作和经营/治理场景。,0.95
batch_003,S017,1,0,仅提到公司深耕“智能制造”相关测试领域，属于业务定位与行业描述，没有出现数据对象、数据处理动作或具体经营治理场景。,0.96
batch_003,S018,1,1,提到将硬件设备与人工智能结合，使终端具备信息处理和数据联接能力，但整体仍是行业趋势性、功能性描述，没有落到具体业务或治理中的实际使用。,0.9
batch_003,S019,1,2,文本出现较具体的应用要素，如机器视觉识别/测量、网络化总线控制以及“设置数据采集层”，说明存在明确的数据采集与使用动作；但表述偏产品功能介绍，场景展开不完整。,0.78
batch_003,S020,1,0,这是宏观政策性表述，强调“以数据为基础”推动数字化转型，属于政策口径和愿景描述，没有具体到企业自身的数据使用行为。,0.98
batch_003,S021,1,0,内容主要是教育信息化市场规模和财政投入测算，属于行业规模描述，没有具体的数据使用动作或业务场景。,0.97
batch_003,S022,1,1,提到“生产过程智能化研究”和将生产过程智能化，属于较具体的研发方向，但未明确呈现数据对象、数据处理动作或嵌入式经营场景，仍偏项目描述。,0.69
batch_003,S023,1,1,文本提到信息化、智能化、人工智能等技术进步及产业融合，但属于行业背景和趋势介绍，未体现具体的数据使用行为。,0.93
batch_003,S024,1,3,明确给出数据对象与动作及场景：用AI和大数据进行库存预测、智能生产、用户画像分析，并用于供应链管理和精准营销，属于完整且 substantive 的业务应用表述。,0.95
batch_004,S025,1,2,文本写到“现有生产基地的智能化改造”并直接服务于提升光模块产能和出货，属于具体经营动作，但未呈现明确的数据对象或数据处理环节。,0.88
batch_004,S026,1,1,仅提到“数字化转型”培训班和队伍建设，属于培训与组织层面的泛化表述，没有具体数据使用动作或业务场景。,0.94
batch_004,S027,1,3,文本明确写到利用“数据、人工智能等技术”打造智慧城市行业平台，包含数据相关对象、具体动作和智慧城市应用场景，语义较完整。,0.81
batch_004,S028,1,0,内容是工业和信息化相关补助、奖励与会计列示，属于补贴信息，不体现实质性数据使用。,0.98
batch_004,S029,1,0,仅列示“工业和信息化专项资金”等补助项目及金额，属于资金/补贴信息，没有数据使用行为。,0.99
batch_004,S030,1,1,文本是在介绍董事/高管履历，提到“大数据平台负责人”和领域专家，属于背景资历描述，不是公司当期具体数据应用。,0.96
batch_004,S031,2,0,内容为与经信委签订拨款合同、收到专项资金并结转收入，属于项目拨款/补助会计信息，不构成数据使用。,0.99
batch_004,S032,2,1,仅说明新能源汽车向“电动化、智能化”方向发展，属于行业趋势判断，没有具体的数据对象、动作或经营治理场景。,0.95
batch_005,S033,2,2,语境是项目清单，出现“基于大数据…数字城市管理平台”“建设与产业化”等具体建设动作，能看出大数据被用于平台建设，但仍停留在项目名称式描述，缺少更完整的业务或治理使用场景。,0.8
batch_005,S034,2,0,这里只是在描述汽车“电动化、智能化”的行业趋势及公司跟进，没有出现数据对象、数据处理动作或具体经营治理应用。,0.96
batch_005,S035,2,1,文本体现了媒体产品的移动化、数字化布局和产品矩阵，属于数字化发展的概括性描述，但没有展示具体的数据使用动作或明确业务治理场景。,0.88
batch_005,S036,2,1,“提升信息化建设和保密管理水平”属于管理层面的泛化表述，带有信息化措辞，但缺少具体数据对象、操作过程和应用场景。,0.94
batch_005,S037,2,2,文本提到“客户关系管理系统的搭建”，可见较具体的信息化建设动作，并对应客户管理这一业务场景；但对数据内容、分析或使用机制交代不充分，语义深度仍偏部分化。,0.85
batch_005,S038,2,0,“智能化工程建设项目”仅作为合同和项目名称出现，属于泛化或标题式提及，没有体现具体的数据使用行为或业务治理应用。,0.93
batch_005,S039,2,3,文本明确写到依托ERP、PLM、MES、OA等系统“打通销售、生产、采购、仓储”，同时置于“精细化管理与数字化运营”场景中，具备数据对象/系统、具体动作和经营运营场景，属于实质性使用。,0.95
batch_005,S040,2,0,“文化大数据”仅出现在参股子公司名称/任职信息中，属于公司或职务信息，不构成任何具体的数据使用行为。,0.99
batch_006,S041,2,0,仅为政府补助/项目名称表述，‘智能制造试点企业项目’出现在补助清单中，没有体现任何具体业务或治理使用。,0.98
batch_006,S042,2,0,‘智能制造生产基地’只是项目名称，并附带净利润说明，未展示与数据或智能化应用相关的具体行动场景。,0.94
batch_006,S043,2,0,仅为资产或工程名称列示，如‘道口智能化系统’，属于清单式披露，没有具体使用行为。,0.98
batch_006,S044,2,2,文本写到在九大产品线基础上升级，并新增院内物流信息系统（SPD系统），已出现具体系统建设与服务场景，但缺少更完整的数据对象和运行机制描述。,0.82
batch_006,S045,2,2,明确提出利用更精准、细分的数字化媒介高效触达用户，属于营销场景中的具体应用，但仍较概括，未展开数据对象或执行细节。,0.84
batch_006,S046,2,0,主要是政策文件与宏观表述，属于数字农业政策引用，没有公司自身的实质性应用动作。,0.99
batch_006,S047,3,2,提到扩展数字化研发实施范围、接入第三方平台、开发控制台，已体现具体智能化/数字化动作和产品场景，但数据对象与业务闭环仍不够完整。,0.87
batch_006,S048,2,0,这是年报释义中对人工智能的概念定义，属于术语解释，没有实质业务使用。,0.99
batch_007,S049,2,1,提到“数字化浪潮”和“智能化趋势”，并有设备研发投入与产品线扩展，但核心仍是技术和市场布局，没有明确的数据对象或数据使用场景。,0.89
