category,left_var,right_var,N,rho
pure_vs_composite,HireCap_engineer,HCap_hire_engineer,37372,.70016837
pure_vs_composite,HireCap_posts,HCap_hire_posts,37372,.865224
pure_vs_composite,HireCap_title,HCap_hire_title,37372,.51608342
pure_vs_composite,NarrHireGap_engineer,NHGap_hire_engineer,37372,.84602505
pure_vs_composite,NarrHireGap_posts,NHGap_hire_posts,37372,.85175782
pure_vs_composite,NarrHireGap_title,NHGap_hire_title,37372,.74522138
pure_vs_composite,NarrHireHush_engineer,NHHush_hire_engineer,37372,.72620797
pure_vs_composite,NarrHireHush_posts,NHHush_hire_posts,37372,.73298669
pure_vs_composite,NarrHireHush_title,NHHush_hire_title,37372,.52303469
pure_vs_composite,NarrHireVer_engineer,NHVer_hire_engineer,37372,.73502159
pure_vs_composite,NarrHireVer_posts,NHVer_hire_posts,37372,.74166954
pure_vs_composite,NarrHireVer_title,NHVer_hire_title,37372,.53462678
pure_vs_composite,NarrHireWash_engineer,NHWash_hire_engineer,37372,.89650923
pure_vs_composite,NarrHireWash_posts,NHWash_hire_posts,37372,.89839143
pure_vs_composite,NarrHireWash_title,NHWash_hire_title,37372,.84713465
pure_vs_direct,HireCap_broad,HardCap_direct_v1,37372,.2690469
pure_vs_direct,HireCap_engineer,HardCap_direct_v1,37372,.25524211
pure_vs_direct,HireCap_posts,HardCap_direct_v1,37372,.36393461
pure_vs_direct,HireCap_title,HardCap_direct_v1,37372,.16542672
pure_vs_direct,NarrHireGap_broad,NarrHardGap_direct_v1,37372,.84759009
pure_vs_direct,NarrHireGap_engineer,NarrHardGap_direct_v1,37372,.7727176
pure_vs_direct,NarrHireGap_posts,NarrHardGap_direct_v1,37372,.77740079
pure_vs_direct,NarrHireGap_title,NarrHardGap_direct_v1,37372,.70062405
pure_vs_direct,NarrHireHush_engineer,NarrHardHushing_direct_v1,37372,.63107044
pure_vs_direct,NarrHireHush_posts,NarrHardHushing_direct_v1,37372,.63695908
pure_vs_direct,NarrHireHush_title,NarrHardHushing_direct_v1,37372,.46267703
pure_vs_direct,NarrHireVer_engineer,NarrHardVerified_direct_v1,37372,.65860605
pure_vs_direct,NarrHireVer_posts,NarrHardVerified_direct_v1,37372,.66359353
pure_vs_direct,NarrHireVer_title,NarrHardVerified_direct_v1,37372,.48602778
pure_vs_direct,NarrHireWash_engineer,NarrHardWashing_direct_v1,37372,.87634379
pure_vs_direct,NarrHireWash_posts,NarrHardWashing_direct_v1,37372,.87752843
pure_vs_direct,NarrHireWash_title,NarrHardWashing_direct_v1,37372,.83812261
within_pure,HireCap_engineer,HireCap_posts,37372,.57532924
within_pure,HireCap_title,HireCap_broad,37372,.37317559
within_pure,HireCap_title,HireCap_engineer,37372,.52803242
within_pure,HireCap_title,HireCap_posts,37372,.41406265
within_pure,NarrHireGap_title,NarrHireGap_broad,37372,.75114518
within_pure,NarrHireGap_title,NarrHireGap_engineer,37372,.83146822
within_pure,NarrHireGap_title,NarrHireGap_posts,37372,.85178429
within_pure,NarrHireWash_title,NarrHireWash_engineer,37372,.92824262
within_pure,NarrHireWash_title,NarrHireWash_posts,37372,.93128794
